==================================================================
                        General Data File
==================================================================
Units:
length m mass kg
Number of elements and nodes:
3979 864

.................................................................

Node                X m        Y m        Z m
Coordinates:
1            4           10          -10
2          3.2          9.4          -10
3       4.6667       9.1667          -10
4            4           10      -8.8889
5          2.8          9.1      -9.0474
6       3.3716       8.3379          -10
7       3.9856       8.3497      -9.2472
8            5         8.75      -9.0474
9       4.3675       8.0871          -10
10          2.4          8.8          -10
11       3.6628       8.7217      -8.4502
12       3.2748       9.4561      -8.1283
13       4.6321       9.2099      -8.1278
14       5.3333       8.3333          -10
15            4           10      -7.7778
16       2.8919       8.1441      -9.3649
17       4.7631       7.9647      -9.3035
18            2          8.5      -9.0474
19       2.5716       7.7379          -10
20       3.3369       7.6471      -8.8523
21       4.3472       7.9065      -8.3007
22          2.4          8.8      -8.0947
23       3.7704       7.2264          -10
24        4.231       8.5231      -7.6465
25       3.2815       8.8275      -7.5274
26       5.3141       8.3573      -8.1055
27       4.9228       7.3216          -10
28       5.6667       7.9167      -9.0474
29       4.0992        7.271      -9.1958
30       3.2825       7.9066      -8.0932
31          1.6          8.2          -10
32       1.9239       7.7681      -9.3031
33       3.0428       9.2821      -7.1053
34        2.272       7.9248      -8.3975
35       4.9747       7.2876      -8.7219
36            6          7.5          -10
37       4.7879       9.0151      -7.0319
38       3.9757       9.0689      -6.8432
39       3.4949       6.9152      -8.9589
40            4           10      -6.6667
41       4.7866       6.7202       -9.302
42       4.2922       7.6048      -7.4996
43       5.4228       6.8668      -9.1912
44       2.1565       7.2052      -8.8166
45       2.7432       6.6758          -10
46       4.3421       6.7392      -8.6018
47       3.1401       7.1094      -8.0742
48       2.7127       8.0483      -7.2484
49       1.5252       8.1439      -8.1283
50       3.6608        8.119      -6.9254
51       1.7716       7.1379          -10
52          1.2          7.9      -9.0474
53       3.8049       7.0675      -7.8651
54            6          7.5      -8.0947
55       4.6515       8.2113      -6.7895
56       3.7147       6.2137          -10
57       4.7706       6.9702      -7.8304
58       2.0292       8.5219      -7.0754
59       4.7013       6.2106          -10
60       5.5895       6.4882          -10
61       6.3333       7.0833      -9.0474
62       5.6512        7.936      -7.1475
63       3.0306       6.4649      -8.5306
64       5.7307       6.9233      -8.1704
65          0.8          7.6          -10
66        3.235       9.4263      -6.1007
67       3.3885       7.1908      -7.1948
68       1.8213        7.243      -7.7796
69       1.5718       6.5961      -9.4747
70        4.186       5.8603      -9.0812
71       4.9752       6.1236      -8.5337
72       5.0863       7.3101      -6.8732
73       6.6667       6.6667          -10
74       3.3406       6.3922      -7.7816
75        4.174       7.3911      -6.4614
76       4.6154       9.2307      -5.6934
77        4.117       8.2476      -5.9402
78            4           10      -5.5556
79       4.2888       6.0943       -7.855
80       4.3855       6.6168      -7.0648
81       1.9053            6          -10
82       2.2284       6.3501      -7.9924
83       5.5124       5.7893      -9.2855
84      0.66563       7.4992      -8.2025
85       2.4593       6.8151      -7.1329
86       2.8198       5.5845          -10
87       2.4503       8.8377      -5.8094
88       1.0429       7.7822      -7.2151
89       2.0059       5.9439       -8.959
90       3.4607       5.6649      -8.4402
91      0.95263          6.5          -10
92       3.2752       5.4785      -9.2386
93       1.3693       6.4583      -8.5009
94       6.3273       5.9975      -9.4304
95       6.6859       6.6427      -8.1055
96        5.967       6.0023      -8.4932
97       6.3488        7.064      -7.1475
98       4.9794        7.734      -5.9692
99       3.1776       7.8771      -5.8336
100       5.3296       6.3799         -7.2
101       5.3025       8.3719      -5.7049
102       1.6533       7.3074      -6.7917
103       4.0813       5.1961          -10
104        5.333       5.3521          -10
105       1.7137       8.2853      -6.0997
106       3.9174       5.1657      -9.3116
107       4.8336       5.2259       -9.332
108            7         6.25      -9.0474
109       3.6331       8.6052      -5.3132
110      0.61905       6.5292      -9.1646
111       5.8678       7.2162      -6.3809
112        2.735       5.5233      -8.2533
113       2.6243       7.1188      -6.1901
114       6.3882       5.6078          -10
115            0            7          -10
116       3.7652        5.833      -7.1385
117       2.1778        7.899      -5.7427
118       3.2379       9.4284           -5
119            0            7      -8.8889
120        1.542       6.4281      -7.2636
121       4.4776       6.9484      -5.8975
122       4.3851       5.0913      -8.4934
123       1.2995       5.7036      -8.9586
124       4.9795       6.5083        -6.27
125       2.9812       6.2336      -6.5023
126       5.3623       5.2235      -8.3033
127       6.3092       6.1138      -7.3289
128       3.4812       6.7602      -5.8087
129       5.5414       5.5844      -7.4563
130       2.3318       5.8192      -7.1464
131       7.3333       5.8333          -10
132       1.8194       5.6352      -7.8327
133       5.9895       7.5131       -5.715
